"Title","Caption","Copyright","Node Type"
"Aga Khan Museum opens to public with inaugural exhibitions and performing arts programme","The Museum collection contains some of the greatest artistic achievements of Islamic civilisations. ","Gary Otte / AKDN","Press Release"
"Aga Khan attends the inauguration of Afghanistan’s new President","His Highness the Aga Khan receives a guard of honour upon his arrival at the Presidential Palace in Kabul to meet with newly elected President of Afghanistan Ashraf Ghani Ahmadzai.","PPU, Government of Afghanistan","Press Release"
"Aga Khan reviews progress of University of Central Asia's Naryn Campus","His Highness the Aga Khan reviewing progress on the Naryn campus, the first of the University of Central Asia's three new undergraduate campuses. Two other campuses are being built in Tajikistan and Kazakhstan.","AKDN / Mikhail Romanyuk","Press Release"
"Architects, urban planners and academics gather in Pakistan to discuss Aga Khan Award for Architecture","During the Aga Khan Award for Architecture seminar in Karachi, Pakistan's Institute of Architects presented a citation to His Highness the Aga Khan, expressing their gratitude for his patronage of architecture, particularly in Pakistan. Mr S. M. Jahangir Khan Sherpao, President of IAP presented the citation to Mr Firoz Rasul, President, AKU, who accepted on His Highness' behalf. ","AKU","Press Release"
"AKDN statement at the ""Heart of Asia"" Ministerial Conference on Afghanistan in Beijing","Since its completion in 2007, the Bagh-e-Babur monument and the surrounding gardens have attracted over 400,000 annual visitors (2.8 million visitors from 2008 -2013), generating surpluses of revenue over expenditure. ","AKTC","Press Release"
"Agreement to implement Disaster Preparedness Project in Central Asia","Focus Humanitarian Assistance runs programmes in Gorno-Badakhshan Autonomous Oblast, Tajikistan, to raise awareness of potential natural disasters and improve community preparedness in the event of such disasters. Part of recent projects involves installing two-way radio systems in private houses and training villagers how to use them for emergencies. ","AKDN / Jean-Luc Ray","Press Release"
"Aga Khan urges support for civil society at Afghanistan Conference","His Highness the Aga Khan speaking at the 2014 London Conference on Afghanistan.","Patrick Tsui / FCO","Press Release"
"Aga Khan receives 2013 North-South Prize","His Excellency Aníbal Cavaco Silva, the President of the Republic of Portugal presents His Highness the Aga Khan with the 2013 North-South Prize.","Photo: AKDN/ José Manuel Boavida Caria","Press Release"
"Aga Khan Museum collection on display in Southeast Asia for the first time","In the presence of His Highness the Aga Khan, Minister Dato Seri Utama Dr Rais Yatim cuts the ribbon to officially open the Aga Khan Museum exhibition at the Islamic Arts Museum Malaysia.","AKDN / Gerald Friedli","Press Release"
"AKTC and Think City to provide assistance for protection of George Town in Penang, Malaysia","Shop houses in Penang, Malaysia. The Aga Khan Trust for Culture and Think City will collaborate to enhance the built heritage of George Town. ","AKTC","Press Release"
"UCA and GIZ bring mobile digital library to Naryn and Ak-Talaa districts in the Kyrgyz Republic","The refurbished eBilim minibus will travel to 10 villages in the Naryn oblast. Electronic equipment will be available for children and adults in the mobile library.","UCA","Press Release"
"The Aga Khan announces the Aga Khan University’s expansion into Liberal Arts at a historic convocation","His Highness the Aga Khan, Chancellor of the Aga Khan University, His Excellency Dr Ishrat Ul Ebad Khan, Governor of Sindh, Syed Qaim Ali Shah, the Chief Minister of Sindh, AKU’s President Firoz Rasul and the Members of the AKU Board of Trustees standing for the National Anthem.","AKDN / Gary Otte","Press Release"
"Aga Khan Hospital in Dar es Salaam launches first Oncology Programme as part of expansion","Princess Zahra Aga Khan meeting with Ms Wema Obillo a registered nurse at the Oncology Department at Aga Khan Hospital Tanzania.","AKDN / Zahur Ramji","Press Release"
"Aga Khan lauds Canada’s leadership in advancing pluralism in the world, warns against rise of extremism","His Highness the Aga Khan after&nbsp;delivering a historic address to a joint session of the Parliament of Canada on 27 February 2014, at the invitation of Prime Minister Stephen Harper.","AKDN / Zahur Ramji","Press Release"
"Aga Khan to address a special Joint Session of Parliament on Thursday, February 27","His Highness the Aga Khan is received by the Honourable Chris Alexander, Canada’s Minister of Citizenship and Immigration, upon his arrival in Ottawa. ","AKDN / Gary Otte","Press Release"
"Aga Khan and Canadian Prime Minister announce human development partnership","Prime Minister Stephen Harper and His Highness the Aga Khan shaking hands on stage at Massey Hall, Toronto, February 28, 2014.","AKDN / Mo Govindji","Press Release"
"Aga Khan to deliver Ogden Lecture at Brown University","Brown University, an independent, coeducational Ivy League institution and the seventh-oldest college in the United States, is celebrating its 250th anniversary in 2014.","AKDN / Aly Z. Ramji","Press Release"
"Aga Khan urges commitment to pluralism and strengthening of civil society","His Highness the Aga Khan delivers the 88th Ogden Memorial Lecture in International Affairs at Brown University. ","AKDN / Farhez Rayani","Press Release"
"The French Development Agency and AKDN sign a multimillion-dollar agreement on the expansion of Health Services in Tanzania","Princess Zahra Aga Khan, Head of AKDN's Social Welfare Department looks on as AFD’s deputy Chief Executive Officer, Jacques Moineville, and Amin Habib, Chairman of the Board of Directors of the Aga Khan Health Services in Tanzania exchange agreements following the signing ceremony which took place Friday 9th May in France.","AKDN / Gary Otte","Press Release"
"Aga Khan urges innovative approaches to maternal and child care, praises Canada's leadership","His Highness the Aga Khan delivers a keynote address at the Summit on Maternal, Newborn and Child Health, organized by the Government of Canada.","AKDN / Zahur Ramji","Press Release"
"Aga Khan at the Maternal, Newborn and Health Summit in Toronto","","","Press Release"
"European Development Finance Institutions partner with AKDN to improve quality of life in developing countries","Officials from the three development financial institutions PROPARCO, DEG and FMO pose for a photograph with those from AKFED following the signing ceremony. The ceremony was presided over by Prince Amyn Aga Khan (front row, 3rd from left) , Chairman of the AKFED Executive Committee.","AKDN","Press Release"
"Aga Khan Foundation partners with ZEE Jaipur Literature Festival for 2015 edition","Kronos Quartett & Alim Qasimov Ensemble.","AKDN / Sebastian Schutyser ","Press Release"
"Safe drinking water and sanitation project improves lives for over 200,000 people in Gilgit-Baltistan and Chitral","A four-year project to improve safe drinking water and sanitation facilities has benefited over 200,000 people in the Gilgit-Baltistan and Chitral (GBC) regions of Pakistan.","AKDN","Press Release"
"Toronto's newest cultural hub, the Aga Khan Park, is opened","A view of the Aga Khan Park with the Aga Khan Museum in the background. ","AKDN / Janet Kimber","Press Release"
"Inauguration of the Ayyubid Wall and Tarabay al-Sherif Complex projects in Cairo","An aerial view of Azhar Park in Cairo, with the restored 12th century Ayyubid wall forming the boundary (on left) of the Park. The Tarabay al-Sherif complex, built in 1503, lies  just outside the Ayyubid wall. The two projects are part of a much larger urban regeneration programme that includes the 30-hectare (74-acre) Azhar Park, a number of restored mosques, schools and public spaces, training programmes for youth, health and education initiatives, among other programmes.","AKDN / Gary Otte","Press Release"
"Historic agreement establishes Global Seat of Ismaili Imamat in Portugal","His Highness the Aga Khan and Portugal’s Minister of State and Foreign Affairs Rui Machete sign a landmark agreement establishing a formal Seat of the Ismaili Imamat in Portugal. ","AKDN / Gary Otte","Press Release"
"Azito Energie inaugurates Côte d'Ivoire's first operational combined cycle gas turbine (CCGT) power plant","CEO of Globeleq Mikael Karlsson speaking at the inauguration ceremony in Abidjan, 30 June 2015. ","AKDN / Abbas Makke","Press Release"
"University of Central Asia signs milestone Curriculum Development Agreement with Seneca College, Canada","The agreement was signed by Mr Shamsh Kassim-Lakha, Executive Chairman of the UCA Board Executive Committee, and Mr David Agnew, President of Seneca College at a ceremony at UCA’s Central Administration Office in Bishkek. ","UCA","Press Release"
"Aga Khan Music Initiative presents Kronos Quartet and Mali’s Trio Da Kali at Montreux Jazz Festival","Kronos Quartet & Trio Da Kali.","Jay Blakesberg","Press Release"
"Regional conference on climate change-induced hazards and coping mechanisms in Tajikistan","FOCUS technicians conduct an integrated risk assessment in the village of Rivak, in the Shughnan province of Tajikistan. Risk assessments have helped villagers mitigate the effects of disasters. ","FOCUS","Press Release"
"FOCUS Pakistan responds to flooding in Chitral and Gilgit-Baltistan","Over 700 trained volunteers from FOCUS Pakistan’s Search and Rescue, Disaster Assessment Response and Community Emergency Response Teams have been mobilised to respond to the the devastating flooding in Chitral and Gilgit-Baltistan. 
","FOCUS","Press Release"
"Discovery documentary on Humayun's Tomb in Delhi to be aired in India starting 27 July 2015","Humayun`s Tomb and Gardens were restored by the Aga Khan Trust for Culture in partnership with the Archeological Survey of India.","AKDN / Christian Richters","Press Release"
"Aga Khan University graduates to have a “multiplier effect” in civil society","In today's AKU convocation ceremony, the Master of Education degree was conferred upon 37 graduates. The Master of Medicine degree was conferred upon three graduates. Eighteen graduates were conferred with the degree of Bachelor of Science in Nursing. The valedictorian speech was presented by Tabitha Alexandria Njeri Nyanja, a graduate of the Master of Medicine programme.","AKDN / Zahur Ramji","Press Release"
"Aga Khan Fund for Economic Development and BRAC form strategic partnership","The Aga Khan Fund for Economic Development (AKFED) and BRAC signed an agreement, in connection with a strategic partnership, which will allow BRAC to acquire a lead equity stake in Industrial Promotion Development Company of Bangladesh Limited (IPDC).","AKDN","Press Release"
"Aga Khan to deliver keynote address at the Athens Democracy Forum","","","Press Release"
"Historic agreement signed between Province of Ontario and the Ismaili Imamat","His Highness the Aga Khan and Premier Wynne of Ontario sign an agreement between the Province of Ontario and the Ismaili Imamat that sets a blueprint for cooperation. ","AKDN / Zahur Ramji","Press Release"
"Aga Khan shocked and saddened by attack on the Ismaili community in Pakistan","","","Press Release"
"Focus to rehabilitate schools in Madagascar following tropical cyclone","","","Press Release"
"The Aga Khan University's new Charter sets the stage for major expansion in the region","His Highness the Aga Khan receives the AKU Charter from His Excellency President Jakaya Kikwete at State House Monday 23rd February 2015. This is the first time such recognition has been accorded to a foreign institution of higher learning. ","AKDN / Zahur Ramji","Press Release"
"The 2015 Aga Khan University Convocation in Kampala, Uganda","His Highness the Aga Khan and AKU President Firoz Rasul lead the procession out of the convocation hall.","AKDN / Zahur Ramji","Press Release"
"Aga Khan University addresses the challenge of educating a new generation of leaders in Africa","In Nairobi, some 87 graduands received degrees and diplomas from the AKU School of Nursing and Midwifery and the AKU Medical College. ","AKDN / Zahur Ramji  ","Press Release"
"The Aga Khan receives Canada’s new Representative to the Ismaili Imamat","His Highness the Aga Khan receives His Excellency Gordon Campbell, the Representative of the Government of Canada to the Ismaili Imamat.  ","AKDN ","Press Release"
"Aga Khan Rural Support Programme awarded 2015 Times of India Social impact award for safe drinking water and improved sanitation","AKRSP`s work in water and sanitation includes providing access to safe and pure drinking water for nearly 29,000 households in rural Gujarat and Bihar. ","AKDN","Press Release"
"Aga Khan receives India's Padma Vibhushan Award","His Highness the Aga Khan receiving the Padma Vibhushan Award from President Pranab Mukherjee of India. 
","AKDN ","Press Release"
"Humayun's Tomb Site Museum launched by India's Minister of Tourism and Culture and Aga Khan","His Highnesss the Aga Khan and Minister Sharma unveil a plaque to mark the occasion of the site museum foundation ceremony.  ","AKDN / Narendra Swain    ","Press Release"
"La musique live s’épanouit au Parc National du Mali avec le soutien de l’Initiative Aga Khan pour la musique","Les Jeudis Musicaux des Enfants reprennent le principe des Jeudis Musicaux, mais présentent le travail d`ensembles d`enfants.","AKTC","Press Release"
"Aga Khan Foundation improves infant feeding and nutrition practices among 400,000 mothers in rural Bihar","For the past three years, the Aga Khan Foundation and its partners in India have worked with 400,000 mothers from marginalised communities in rural Bihar, significantly improving infant and young child feeding practices. ","AKDN ","Press Release"
"Batashewala Mughal Garden Complex in Delhi restored","The tomb of Mirza Muzaffar Hussain, grand-nephew of Emperor Humayun and son-in-law of Emperor Akbar, is at the center of the newly restored Batashewala complex.","AKDN / Narendra Swain","Press Release"
"The “Blue Mosque” of Cairo restored by the Aga Khan Trust for Culture","Restoration efforts included the conservation of delicate marble panels and Iznik ceramic tiles and large-scale roofing and façade conservation. 
 ","AKTC / Gary Otte","Press Release"
"Governments must improve quality of life for democracies to succeed, says Aga Khan","His Highness the Aga Khan speaking at the Stoa of Attalos in Athens where he delivered a Keynote Address at the Athens Democracy Forum on the International Day of Democracy.","AKDN / Gary Otte","Press Release"
"Aga Khan awarded the 2013 Royal Architectural Institute of Canada Gold Medal","His Highness the Aga Khan, recipient of the 2013 RAIC Gold Medal, with Paul Frank, President of the Royal Architectural Institute of Canada.","AKDN / Farhez Rayani","Press Release"
"Tajikistan, Afghanistan and AKDN lay foundation stone for fifth bridge between countries","His Highness the Aga Khan addresses those gathered for the ceremony to mark the laying of the foundation-stone of the Shurobad Bridge.","AKDN / Gary Otte","Press Release"
"Patriarchate of Lisbon and Aga Khan Foundation renew partnership","The Cardinal Patriarch of Lisbon, His Eminence Dom José Policarpo, and Prince Amyn Aga Khan sign the renewed partnership agreement between the Patriarchate of Lisbon and the Aga Khan Foundation to improve the quality of life of marginalized groups in Greater Lisbon, as the Portuguese Minister of Solidarity and Social Security, Pedro Mota Soares and the AKDN Resident Representative for Portugal, Nazim Ahmad look on. ","Nuno Saraiva    ","Press Release"
"Aga Khan Music Initiative and Smithsonian Folkways release “Borderlands: Wu Man and Master Musicians from the Silk Route”","From L-R: Sirojiddin Juraev, Wu Man, Abduvali Abdurashidov. ","AKDN","Press Release"
"La compagnie Air Côte d'Ivoire devient une réalité","The aim of AKFED’s Aviation Services division is to assist Burkina Faso in creating and maintaining critical aviation infrastructure in support of economic development. ","Lucas Cuervo Moura ","Press Release"
"Aga Khan Award for Architecture helps launch network for architectural education in Africa; hosts conferences in Ghana and Côte d’Ivoire","Mopti Grand Mosque, Mali","Christian Richters ","Press Release"
"Serena hotels receive African Business Award 2012 for Contributions to Africa","Wildebeest migration in front of Amboseli Serena Lodge and Mount Kilimanjaro ","AKDN","Press Release"
"East African Community and Aga Khan Development Network sign agreement to foster development in the region","His Highness the Aga Khan and Ambassador Richard Sezibera, Secretary General of the East African Community, exchange folders and share congratulations during the signing ceremony. ","AKDN / Zahur Ramji","Press Release"
"“Treasures of the Aga Khan Museum” exhibition opens in Singapore","The new exhibition from the Aga Khan Museum collection titled “Treasures of the Aga Khan Museum : Architecture in the Islamic World” in the Asian Civilisations Museum in Singapore.","AKDN / Alex Moi","Press Release"
"Aga Khan Music Initiative and Serious UK Bring Homayun Sakhi, Kronos Quartet and Bardic Divas to London Olympics Music Festival","","","Press Release"
"Aga Khan Award for Architecture seminar on ""Emerging Models of Planning Practices"" in Singapore","Participants of the Aga Khan Award for Architecture Seminar on ""Emerging Models of Planning Practices"" on a site visit to the Pinnacle@Duxton public housing complex.","AKDN","Press Release"
"International Baccalaureate teachers meet at Aga Khan Academy in Hyderabad","The Academy in Hyderabad hosts its first IB workshop, welcoming over 100 teachers to its campus.","AKDN","Press Release"
"Aga Khan Music Initiative presents “New Sounds from Arab Lands” in Europe and United States","Five eminent performers from Syria, Tunisia and Lebanon tour Europe and the United States in 2013. ","Carlos Casas / Aga Khan Music Initiative","Press Release"
"Revitalisation to begin on Quli Qutb Shah archaeological park in Hyderabad, India","The Quli Qutb Shah Archaeological Park includes 70 structures, encompassing 40 mausoleums, 23 mosques, five step-wells/water structures, a hamam (mortuary bath), pavilions, garden structures and enclosure walls built during the reign of the Qutb Shahi Dynasty that ruled the Hyderabad region for 170 years in the 16th and 17th centuries.","AKTC / India","Press Release"
"Aga Khan Award for Architecture prize doubled to US$ 1 Million","The Bridge School in Xiashi, Fujian Province, China, designed by Li Xiaodong, received the Aga Khan Award for Architecture in 2010.","Aga Khan Award for Architecture","Press Release"
"Aga Khan Music Initiative brings together musicians from Central Asia, the Middle East and North Africa at the 2012 Spring Festival","Abduvali Abdurashidov, recently awarded the 2012 France Music Prize for World Music.","Sebastian Schutyser ","Press Release"
"President Rahmon and Aga Khan inaugurate Dushanbe Serena hotel","Front entrance of the newly inaugurated Dushanbe Serena Hotel in Tajikistan.","AKDN / Gary Otte","Press Release"
"Aga Khan attends inauguration of Kyrgyz President, discusses development activities","His Highness the Aga Khan congratulates President Almazbek Atambaev on his official inauguration as President of the Kyrgyz Republic. ","Artur Boldjurov    ","Press Release"
"""Treasures of the Aga Khan Museum: Architecture in Islamic Arts"" at The Hermitage, St. Petersburg","""Treasures of the Aga Khan Museum: Architecture in Islamic Arts"" exhibition at The Hermitage, St. Petersburg. ","Mikhail Romanyuk    ","Press Release"
"His Highness the Aga Khan receives honorary doctorate from the University of Ottawa","Dressed in University of Ottawa academic regalia, Chancellor Huguette Labelle, His Highness the Aga Khan and President Allan Rock pose for a photograph.","AKDN / Zahur Ramji","Press Release"
"Aga Khan Music Initiative launches University Residency Series 2012 in United States","Kronos Quartet & Alim Qasimov Ensemble, Rehearsal, Barbican Hall, London, 2008.","Sebastian Schutyser ","Press Release"
"Steering Committee for Aga Khan Award's twelfth cycle announced","The Ipekyol factory in Edirne, Turkey was a 2010 Awards cycle recipient","Aga Khan Award for Architecture","Press Release"
"Aga Khan Development Network and the Japan International Cooperation Agency deepen partnership in Asia and Africa","An entrepreneur has set up shop with a loan from the Aga Khan Agency for Microfinance (AKAM) in Shigar Village, Baltistan, Pakistan. AKDN and JICA are preparing programmes that jointly support microfinance in Pakistan.","Robin Oldacre-Reed ","Press Release"
"France Musique Prize 2012 for World Music awarded to Aga Khan Music Initiative artist Abduvali Abdurashidov","Music of Central Asia Vol. 2, Invisible Face of the Beloved Classical Music of the Tajiks and Uzbeks.","","Press Release"
"First MicroFinance Bank Pakistan and JICA sign agreement to expand access to finance in Pakistan","First MicroFinanceBank Pakistan, Karimabad Branch.","AKDN","Press Release"
"The Aga Khan visits Western China","His Highness the Aga Khan, Governor Nur Bekri, members of the government of Xinjiang and members of the AKDN delegation. ","Xinjiang Foreign Affairs Office    ","Press Release"
"His Highness the Aga Khan visits Tajikistan","Tajik President H.E. Emomali Rahmon welcomes His Highness the Aga Khan at the Palace of Nations, Dushanbe, 4 April 2012. ","Maqsudjon Muhiddinov    ","Press Release"
"Nairobi City Park to be rehabilitated by Aga Khan Trust for Culture and government of Kenya","Nairobi City Park before the rehabilitation - The park shelters a rich and thriving diversity of nearly 1000 species of flora and fauna, of which, no less than 58 species of trees have been identified. The city Park works will improve the site's amenities and public safety, as well as provide the necessary infrastructure to maintain the natural and cultural heritage of the park. ","AKTC","Press Release"
"Master Jury announced for 2013 Aga Khan Award for Architecture ","","","Press Release"
"UCA and Afghanistan organise Symposium on “Trade and Cooperation between Central Asia and Afghanistan”","Mr. Azizullah Stanikzai, Deputy General Director of Trade and Investment in the Afghan Ministry of Foreign Affairs, engaging in a discussion during UCA's  symposium on ""Trade and Cooperation between Central Asia and Afghanistan"". Mr. Stanikzai also participated in UCA's 10-day trade policy and negotiations training programme in Issyk-kul, Kyrgyz Republic, held in August 2012.","Aziz Jan / UCA","Press Release"
"Province of Alberta and Aga Khan sign Cooperation Agreement","His Highness the Aga Khan and Alberta Premier Alison Redford sign an Agreement of Cooperation between the Ismaili Imamat and the Government of Alberta in Edmonton. ","AKDN / Alnoor Nathoo    ","Press Release"
"Foundation laying ceremony for the new Bamyan provincial hospital","Foundation Laying Ceremony of the new Bamyan Provincial Hospital (BPH), 18 April 2013, Bamyan, Afghanistan.","","Press Release"
"Illuminating the roof of the world: Tajikistan exports hydroelectricity to Afghan-Badakhshan","Dignitaries at the ribbon cutting ceremony on 2 May 2013 at 35/20kV sub-station in Ishkashim, Afghanistan.","AKDN","Press Release"
"Aga Khan Award for Architecture announces project eligibility criteria for the tenth cycle and appoints new Steering Committee","","","Press Release"
"Aga Khan Music Initiative and Montreux Jazz Foundation 2 launch partnership with “New Sounds from Arab Lands”","","","Press Release"
"National Zoo of Mali inaugurated after full renovation by the Aga Khan Trust for Culture","Zoo National du Mali. ","AKDN / Ibai Rigby","Press Release"
"FMFB client wins “Best National MicroEntrepreneur” Award","Qurban Bibi, a client of the The First MicroFinanceBank in Pakistan, receiving the “Best National Micro-Entrepreneur Award Female”. ","FMFB Pakistan","Press Release"
"2013 Aga Khan Award for Architecture recipients announced","Container medical compound room, Salam Cardiac Surgery Centre, Khartoum, Sudan.","AKAA / Raul Pantaleo","Press Release"
"Bangladesh and Aga Khan Development Network sign Protocol of Cooperation","His Highness the Aga Khan and Bangladesh’s Foreign Minister, Dr Dipu Moni sign a protocol agreement in the presence of Bangladesh Prime Minister Sheikh Hasina.","AKDN / Rafiq Hakim","Press Release"
"Humayun’s Tomb restoration inaugurated by Indian Prime Minister and Aga Khan","The restoration of Humayun’s Tomb, the resting place of the second Mughal emperor and a precursor to the Taj Mahal, was inaugurated on 18 September 2013.","AKDN / Gary Otte","Press Release"
"Aga Khan Academy, Hyderabad inaugurated","The Aga Khan Academy, Hyderabad. ","AKDN / Gary Otte","Press Release"
"University of Central Asia begins construction of Naryn campus","Launch of UCA`s Phase 1 construction in Naryn, Kyrgyz Republic. ","UCA / Mikhail Romanyuk ","Press Release"
"Travel ""Oscars"" for Serena hotels in Africa","Amboseli Serena Safari Lodge, which won the 2013 ""Leading Eco Hotel of the Year"" at the World Travel Awards. ","AKDN","Press Release"
"The Aga Khan announces the engagement of his eldest son","Prince Rahim Aga Khan and Ms. Kendra Spears.","AKDN / Gary Otte","Press Release"
"20 projects shortlisted for US$ 1 million Aga Khan Award for Architecture","","","Press Release"
"D’éminentes personnalités inaugurent à Kaboul la construction d’un service d’obstétrique ultramoderne","","","Press Release"
"Top officials announce the construction of a state of the art obstetrics facility in Kabul","Foreign Minister Laurent Fabius of France speaking at the foundation ceremony for the new Women's Wing at the French Medical Institute for Children in Kabul. ","AKDN / Gary Otte","Press Release"
"Kabul’s Timur Shah Mausoleum opened by President Karzai and the Aga Khan","The mausoleum of Timur Shah in Kabul, Afghanistan, after restoration by the Aga Khan Trust for Culture.","AKDN / Christian Richters ","Press Release"
"Aga Khan School in Osh, Kyrgyzstan, celebrates 10th anniversary ","Princess Zahra Aga Khan together with Vice Speaker of Parliament Asiya Sasykbaeva and a student of the Aga Khan School cutting a 10th Anniversary cake at the Aga Khan School in the presence of the Speaker of Osh City Council Taalaibek Sabirov, Vice Governor of Osh Oblast Ahmatjan Mahamedov, Vice Mayor of Osh City Dastan Hodjaev, and members of the Parliament of the Kyrgyz Republic.","AKDN / Mikhail Romanyuk","Press Release"
"Aga Khan Award for Architecture seminar in Tajikistan explores architecture in CIS countries","The Ismaili Centre Dushanbe, Tajikistan.","AKDN / Moez Visram","Press Release"
"President Museveni and the Aga Khan inaugurate Bujagali hydropower plant","Aerial view of the Bujagali Hydropower Project.","Matthias Mugisha    ","Press Release"
"Nyagak I hydropower plant inaugurated","Nyagak I hydropower station in Paidha, Zombo District, Uganda","","Press Release"
"University of Central Asia inaugurates football and tennis facilities of international standards","The teams ready for kick off at the Naryn Main Campus in Kyrgyz Republic.","AKDN / Mikhail Romanyuk","Press Release"
"University of Central Asia begins Programme to promote trade and regional cooperation in Central Asia and Afghanistan for cconomic growth","Sixty public servants from Afghanistan, Kazakhstan, Tajikistan and the Kyrgyz Republic at the Institute of Public Policy and Administration at its Trade and Regional Cooperation training programme.","AKDN / Mikhail Romanyuk","Press Release"
"Council of Europe ""Cultural Event"" Label awarded to the Aga Khan Music Initiative","Kronos Quartett & Alim Qasimov Ensemble.","Sebastian Schutyser ","Press Release"
"Aga Khan receives David Rockefeller Bridging Leadership Award","Synergos Founder and Chairperson Peggy Dulany presenting the David Rockefeller Bridging Leadership Award to His Highness the Aga Khan. ","JMB Photographic Ltd","Press Release"
"The role of culture in development: The Aga Khan speaks at UNESCO conference in China","His Highness the Aga Khan participates in a panel discussion on Culture in the Post-2015 Sustainable Development Agenda. Seated from left to right: Francesco Bandarin, Assistant Director-General of UNESCO, His Highness the Aga Khan, His Royal Highness Prince Sultan bin Salman Abdulaziz Al-Saud, President of the Saudi Commission for Tourism and Antiquities, Sir Fazle Hasan Abed, Founder and Chairman of the BRAC Foundation, Irina Bekova, Director-General of UNESCO, Petko Draganov, Deputy Secretary-General of the United Nations Conference on Trade and Development, Rt Hon Michaelle Jean, former Governor General of Canada, Wiendu Nuryanti, Vice Minister of Education and Culture for Indonesia, and Zhang Lin, Executive President of the Dalian Wanda Culture Industry Group.","AKDN / Katharina Hesse","Press Release"
"Aga Khan receives Honorary Degree from Trinity College at the University of Toronto","His Highness the Aga Khan receiving an honorary doctorate from Trinity College at the University of Toronto.","AKDN / Mo Govindji","Press Release"
"Aga Khan welcomes the Sorbonne's new series on Islam","His Highness the Aga Khan and Prince Amyn Aga Khan are introduced to Professor Marianne Barrucand, Institute of Art and Archaeology, University of Paris-Sorbonne (Paris IV), organiser of the conference on Fatimid Art and History held at the Sorbonne, 28-31 May 1998, and editor of the conference volume : ""L'Egypte Fatimide: son art et son histoire"" published by the University Press.","","Press Release"
"Focus Humanitarian Assistance (FOCUS) Pakistan receives Earthquake Relief Award","Karim Nayani, Executive Officer, Amyn Dossa, Chairman, and Eijaz Akram, Search and Rescue Consultant, of Focus Humanitarian Assistance Pakistan, are presented with the Sitara-e-Eisaar Award by the Government of Pakistan.","","Press Release"
"Aga Khan receives Kenya's Highest Medal of Honour","His Highness the Aga Khan with President Mwai Kibaki of Kenya at an official state function after he received Kenya’s highest medal of honour.","AKDN/Gary Otte","Press Release"
"Aga Khan University announces the Faculty of Health Sciences in East Africa","His Highness the Aga Khan and Professor George Saitoti, Kenyan Minister for Education unveil a plaque to commemorate the launch of the Faculty of Health Sciences.","AKDN/Zahir Daya","Press Release"
"Government of Canada and Aga Khan Sign Funding Agreement for Global Centre for Pluralism","","","Press Release"
"Shigar Fort: a new model of conservation combines economic and cultural objectives","Shigar Fort Residence, Baltistan, Pakistan.","AKDN / Gary Otte","Press Release"
"Nine projects receive 2007 Aga Khan Award for Architecture","Recipients of the Aga Khan Award for Architecture Kuala Lumpur.","AKDN/Gary Otte","Press Release"
"Nine projects receive 2007 Aga Khan Award for Architechture","","","Press Release"
"Aga Khan Trust for Culture collaborates with the Louvre and Museum of Decorative Arts in Paris","Prince Amyn Aga Khan, Souren Melikian (curator of a related exhibition,“Song of the World”) and His Highness the
Aga Khan viewing objects from the Masterpieces of Islamic Art from the Aga Khan Museum exhibition at the Louvre, 17 October 2007. ","AKDN / Gary Otte","Press Release"
"Aga Khan and President Rahmonov initiate Dushanbe Serena Hotel","His Highness the Aga Khan, President Rahminov, and Mayor Ubaidullaev laying the foundation stone for the Dushanbe Serena Hotel.","AKDN/Gary Otte","Press Release"
"Ishkashim","","","Press Release"
"Pakistan Post and the first MicrofinanceBank partner towards poverty alleviation","FMFB-P has provided micro loans in the mountainous valley of Chitral called Kalash where this women is making a traditional Kalashi dress in her small shop. Taking a micro loan allows women like this one to send her children to school.","","Press Release"
"European Commission awards Rs. 110 crore grant to benefit rural poor in India","","","Press Release"
"'Prepare children for a multi-cultural world' urges World Bank President","Through its Madrasa Early Childhood Programme, AKF supports the creation of locally owned early childhood centres. Established in Uganda in 1993, the programme supports poor communities, managing and owning sustainable quality pre-schools that offer holistic development opportunities to young children.","AKDN/Zul Mukhida ","Press Release"
"Aga Khan Academy Mombasa builds residential campus to welcome students from across Kenya","His Highness the Aga Khan and Kenya's Minister for Education, Prof. George Saitoti, at the Aga Khan Academy, Mombasa.","AKDN/Gary Otte","Press Release"
"Aga Khan Foundation celebrates twenty-five years of the Madrasa Programme","Students of the Aga Khan Foundation's Madrasa programme sing a traditional Kiswahili song for His Highness the Aga Khan.","AKDN/Gary Otte","Press Release"
"President Compaoré and the Aga Khan launch Microfinance Agency in Burkina Faso","His Highness the Aga Khan in conversation with President Blaise Compaoré of Burkina Faso before launching the first Microfinance Agency in Ouagadougou, 29 July 2005. ","AKDN / Patrick Ruchdi    ","Press Release"
"Aga Khan proposes conference on “Enabling Environment” for Afghanistan development","Participants of the London Conference on Afghanistan, 31 January 2006.","Reuters","Press Release"
"Bellerive Foundation Merges with Aga Khan Foundation","","","Press Release"
"Focus mobilises for tsunami disaster relief","Emergency humanitarian assistance following the tsunami, state of Andhra Pradesh, India.  ","FOCUS","Press Release"
"President Mkapa and Aga Khan lay foundation stone for the expansion of the Aga Khan Hospital Dar es Salaam","His Excellency President Mkapa lays the first stone of the Phase II development of the Aga Khan Hospital in the presence of His Highness the Aga Khan, Minister for Health, Anna Abdallah and Mr. Shabir Abji, Chairman, Aga Khan Health Services, Tanzania.","AKDN/Zahur Ramji","Press Release"
