"Title","Caption","Copyright"
"Nouvel Economiste Philanthropic Entrepreneur of the Year 2009 Award","His Highness the Aga Khan receives the Prix de l'Entrepreneur philanthropique de l'année 2009 from Le Nouvel Economiste, presented by Philippe Seguin, Premier President of the Cour des Comptes, as Henri Nijdam, publisher and editorial managing director of Le Nouvel Economiste looks on.","AKDN / Gary Otte"
"Nouvel Economiste Philanthropic Entrepreneur of the Year 2009 Award","",""
"Inauguration of Khorog City Park","His Highness the Aga Khan speaking at the inauguration of Khorog City Park, in Khorog, Tajikistan, on 10 Octobre 2009.","AKDN/Gary Otte"
"International Finance Corporation breakfast","Prince Amyn Aga Khan at the International Financial Corporation Conference held in Istanbul. ",""
"Inauguration of the revitalised Forodhani Park","His Highness the Aga Khan and His Excellency Dr Amani Abeid Karume, President of Zanzibar and Chairman of the Revolutionary Council, accompanied by Her Excellency Madame Shadya Karume, inaugurate the completion of the US$ 2.4 million restoration of Stone Town's Forodhani Park.","AKDN/Zahur Ramji"
"Graduation ceremony of the University of Alberta","His Highness the Aga Khan delivering his Convocation address at the University of Alberta in Edmonton on June 9, 2009.","AKDN/Moez Visram"
"Remise de la distinction de Grand Mécène et de Grand Donateur","Prince Amyn Aga Khan speaking with His Highness the Aga Khan and France's Minister for Culture, Christine Albanel, before the ceremony honouring the Aga Khan with the titles of Grand Patron (Grand Mécène) and Grand Donor (Grand Donateur) in recognition of his outstanding contribution to cultural development in France as well as the numerous cultural programmes implemented by the cultural agencies of the Aga Khan Development Network throughout the world.","Farida Bréchemier / MCC"
"Remarks by the President of the Academy of Sciences, Professor Arantes e Oliveira at the Investiture Ceremony of His Highness as a Foreign Member of the Academy of Sciences of Lisbon","The President of the Academy of Sciences, Professor Arantes e Oliveira, speaking at the Investiture Ceremony of His Highness as a Foreign Member of the Academy of Sciences of Lisbon, Portugal.","Ricardo Oliviera & Nuno Saraiva    "
"Investiture Ceremony of His Highness the Aga Khan as a Member of the Lisbon Academy of Sciences","His Highness the Aga Khan speaks to the distinguished audience at Portugal's Academy of Sciences after being admitted as Foreign Member, Class of Humanities.","AKDN/Ricardo Oliveira and Nuno Saraiva"
"Banquet hosted in honour of President Museveni","His Highness the Aga Khan talks at a banquet in honour of President Yoweri Museveni of Uganda, with President Francois Bozize of the Central African Republic and Joachim Chissano, former President of Mozambique also in attendance. ","AKDN / Gary Otte"
"The Global Philanthropy Forum","His Highness the Aga Khan speaking to the Global Philanthropy Forum.","AKDN / Zahur Ramji"
"Inaugural ceremony of the Delegation of the Ismaili Imamat, Ottawa","His Highness the Aga Khan, speaking at the opening ceremony of The Delegation of the Ismaili Imamat, situated on Sussex Drive in Ottawa. Looking on, in the glass-domed atrium adorned with Jali screen is the Right Honourable Stephen Harper, Prime Minister of Canada.","AKDN/Gary Otte"
"10th German World Bank Forum: “The Asian Century: Challenges in the economic crisis”","Prince Amyn Aga Khan, chairman of the Aga Khan Fund for Economic Development executive committee, speaks at the 10th German World Bank Forum in Frankfurt on November 20, 2008 in Frankfurt am Main. Challenges in the economic crisis and the role of Asia were the main themes of the forum. ","Mario Vedder / Getty Images "
"Speech by President Dr. Peter George at the Memorandum of Agreement signing ","President of McMaster University Dr Peter George addresses the audience at the signing ceremony of a Memorandum of Understanding between McMaster University and the Aga Khan University.","AKDN / Gary Otte"
"The Avignon Forum","His Highness the Aga Khan delivers a speech at ""A culural growth factor "" conference.","Ministère de la Culture et de la Communication"
"Signing of MOU between AKU and the Catholic University of Portugal","Firoz Rasul, AKU President, adresses the audience at the Ismaili Centre in Lisbon to witness the signing of the Memorandum of Understanding between the AKU and the Catholic University of Portugal.","AKDN / Zahur Ramji"
"Speech by the Rt. Hon. John Denham at a dinner hosted by the Aga Khan","Rt. Hon. John Denham MP, Secretary of State for Innovation, Universities and Skills, speaking at the banquet hosted by His Highness the Aga Khan. ","AKDN / Gary Otte"
"Banquet hosted by Her Majesty the Queen","His Royal Highness Prince Philip, Her Majesty the Queen and His Highness the Aga Khan.","AKDN/Gary Otte"
"President John Hughes Citation at the National University of Ireland ","John Hughes",""
"President John Hughes Citation at the National University of Ireland ","John Hugues, President of the National University of Ireland.",""
"President John Hughes Citation at the National University of Ireland ","John Hugues, President of the National University of Ireland.",""
"Cérémonie annonçant la Création d’un Parc Urbain à Bamako ","His Highness the Aga Khan addresses guests at the Inauguration of the Bamako Park.","AKDN/Gary Otte"
"Cérémonie annonçant la création d'un parc urbain à Bamako","His Highness the Aga Khan addresses guests at the Inauguration of the Bamako Park.","AKDN/Gary Otte"
"Cérémonie annonçant la création d'un parc urbain à Bamako","President Amadou Toumani Touré of Mali thanks His Highness the Aga Khan for the work undertaken by the Aga Khan Trust for Culture in restoring the mosque.","AKDN/Gary Otte"
"Cérémonie annonçant la création d'un parc urbain à Bamako","President Amadou Toumani Touré of Mali addresses the guests at the ceremony, Bamako, Mali.  ","AKDN / Gary Otte"
"The United Nations World Disaster Reduction Campaign 2008-2009","Princess Zahra Aga Khan, Head of the Social Welfare Department of the Aga Khan Development Network, speaking at the launch of the United Nations World Disaster Reduction Campaign 2008-2009.","A. Thorlund / UN-ISDR"
"State banquet during the Golden Jubilee visit in Bangladesh","His Highness the Aga Khan speaking at State Banquet in Dhaka, Bangladesh.","AKDN/Gary Otte"
"Foundation stone-laying ceremony of the Aga Khan Academy, Dhaka","His Highness the Aga Khan speaking at the foundation stone laying ceremony of the Aga Khan Academy in Dhaka.","AKDN/Gary Otte"
"Speech by Dr. Hossain Zillur Rahman at the foundation stone-laying ceremony of AKA, Dhaka","Bangladesh Education Adviser Dr. Hossain Zillur Rahman speaking at the Foundation Stone Laying Ceremony of the Aga Khan Academy, Dhaka","AKDN / Gary Otte"
"Foundation stone-laying ceremony of the Aga Khan Academy, Dhaka","His Highness the Aga Khan speaking at the foundation stone laying ceremony of the Aga Khan Academy in Dhaka.","AKDN/Gary Otte"
"Foundation stone-laying ceremony of the Aga Khan Academy, Dhaka","Salim Bhatia, AKDN Academies Director, speaking at the foundation stone laying ceremony of the Aga Khan Academy in Dhaka. ","AKDN / Gary Otte"
"Statement by His Excellency Hamid Karzai at the Die Quadriga Award ceremony","President Hamid Karzai of the Islamic Republic of Afghanistan speaking at the Die Quadriga Award Ceremony in Berlin, Germany.","AKDN / Gary Otte"
"Massachusetts Institute of Technology ","His Highness the Aga Khan delivering the Commencement speech at the ceremony held in the gardens of the Massachusetts Institute of Technology (MIT) in Cambridge, Boston. ","AKDN / Gary Otte"
"Inauguration of the Ismaili Jamatkhana and Center","His Highness the Aga Khan.","AKDN / Gary Otte"
"Inauguration of the Ismaili Jamatkhana and Center","His Highness the Aga Khan delivering a speech at the opening ceremony of the Ismaili Jamatkhana and Center in Houston, Texas. ","AKDN / Gary Otte"
"Discours par M. Arnaud d'Hauterives à l'Académie des Beaux-Arts","The Perpetual Secretary of the Académie des Beaux Arts, Arnaud d'Hauterives, and His Highness the Aga Khan.","AKDN/Gary Otte"
"Simpósio Internacional ","Professor Doutor Manuel Ferreira Patrício speaking at the Symposium following the Honoris Causa Degree Ceremony at the University of Evora, Portugal.","AKDN / Gary Otte"
"Professor Adriano Moreira: As Asas da Borboleta","Professor Adriano Moreira speaking at the ceremony bestowing the Honoris Causa Degree to His Highness the Aga Khan. ","AKDN / Gary Otte"
"Cerimónia de Outorga do Grau de Doutor ""Honoris Causa"" a Sua Alteza O Aga Khan","Professor Doutor Manuel Ferreira Patrício speaking at the Symposium following the Honoris Causa Degree Ceremony at the University of Evora, Portugal.","AKDN / Gary Otte"
"Cerimónia de Outorga do Grau de Doutor ""Honoris Causa"" a Sua Alteza O Aga Khan","Rector of University Professor Manuel Patricio speaking at the ceremony bestowing the Honoris Causa Degree to His Highness the Aga Khan. ","AKDN / Gary Otte"
"Cerimónia de Outorga do Grau de Doutor ""Honoris Causa"" a Sua Alteza O Aga Khan","Professor Adriano Moreira speaking at the Symposium following the Honoris Causa Degree Ceremony at the University of Evora, Portugal. ","AKDN / Gary Otte"
"Annual meeting of the International Baccalaureate","His Highness the Aga Khan, speaks at the annual meeting of the International Baccalaureate as Ms Monique Seefried, Chairman, IB Board of Governors, looks on.","AKDN/Gary Otte"
"Presentation ceremony of the 2007 Aga Khan Award for Architecture","His Highness the Aga Khan addresses the gathering at the 2007 Aga Khan Award for Architecture ceremony.","AKDN/Gary Otte"
"Speech by President Armando Guebuza at the State Banquet during the Golden Jubilee visit in Mozambique","President Armando Guebuza speaking at the State Dinner at the Ponta Vermelha Presidential Palace.","AKDN / Gary Otte"
"State banquet during the Golden Jubilee visit in Mozambique","His Highness the Aga Khan speaking at the State Banquet given in his honour, Ponta Vermelha Presidential Palace, Maputo, Mozambique. ","AKDN / Gary Otte"
"State banquet during the Golden Jubilee Visit in Madagascar","His Highness the Aga Khan speaking at the state banquet in his honour hosted by the Prime Minister Charles Rabemanjara.","AKDN / Gary Otte"
"The Conference on Central Asia and Europe, Berlin","The Aga Khan commended the German Government for leading in this partnership effort and the European Union for carrying this forward with its endorsement of a ""Regional Strategy"" for Central Asia. In his address, he drew on the experiences of the Aga Khan Development Network in the Central Asian region.","AKDN/Arnhel de Serra"
"International Donor's Conference","Prince Amyn Aga Khan.","AKDN / Zahir Daya    "
"Dinner hosted by the Governor and First Lady of Texas","His Highness the Aga Khan speaks at the luncheon hosted by Governor Schwarzenegger in his honour.","AKDN/Gary Otte"
"Dinner hosted by the Governor and First Lady of Texas","His Highness the Aga Khan speaking at the Texas Gala in honour of his Golden Jubilee.","AKDN / Gary Otte"
"Speech by Dr Monique Seefried at the annual meeting of the International Baccalaureate","His Highness the Aga Khan speaking at the Peterson Lecture in Atlanta.","AKDN/Gary Otte"
"Speech by Dr Monique Seefried at the annual meeting of the International Baccalaureate","Dr Monique Seefried, Chairman of the International Baccalaureate Board of Governors, speaking at the annual meeting of the International Baccalaureate, Atlanta, Georgia.","AKDN / Zahur Ramji"
"Dîner Officiel lors de la Visite du Jubilée d'Or au Mali","His Highness the Aga Khan, awarded the Grand Cross of the National Order of Mali, delivers a speech at a state banquet at the President's Palace at Koulouba. ","AKDN / Gary Otte"
"Presentation of the title of Honorary Citizen of the Islamic Community of Timbuktu and an Honorary Doctorate from the University of Sankoré ","His Highness the Aga Khan speaking outside the Djingarey Ber Mosque in Timbuktu. ","AKDN / Arnhel de Serra"
"Inauguration de la Grande Mosquée de Mopti","President Amadou Toumani Touré of Mali thanks His Highness the Aga Khan for the work undertaken by the Aga Khan Trust for Culture in restoring the mosque.","AKDN/Gary Otte"
"Ceremony of inauguration of the Great Mosque of Mopti ","His Highness the Aga Khan addresses guests at the Inauguration Ceremony for the Komoguel I Mosque in Mopti.","AKDN/Gary Otte"
"Ouverture du Séminaire et de l'Exposition de l'Aga Khan Award for Architecture","His Highness the Aga Khan speaking in Ouagadougou, Burkina Faso, at the seminar to celebrate the local recipients of the Aga Khan Award for Architecture.","AKDN/Arnhel de Serra"
"Ouverture du Séminaire et de l'Exposition de l'Aga Khan Award for Architecture","Central Market, Koudougou, Burkina Faso, 2007 Aga Khan Award for Architecture winner. The choice of the structural system of dome-shaped roofs was dictated by the need for longer spans to accommodate the use of tables and stools in the stalls and allow free and easy circulation. ","AKDN / Amir-Massoud Anoushfar "
"Dîner officiel lors de la visite du Jubilée d'Or au Burkina Faso","His Highness the Aga Khan delivers a speech at the official dinner in Ouagadougou, Burkina Faso.","AKDN / Arnhel de Serra"
"Dîner Officiel offert à l'occasion de la visite du Jubilée d'Or au Mali","President Amadou Toumani Touré of Mali delivering a speech during the state banquet at the President's Palace.","AKDN / Gary Otte"
"American University of Beirut","His Highness the Aga Khan receiving the degree of Doctor of Humane Letters from AUB President John Waterbury and AUB Provost Peter Heath.","AKDN / Gary Otte"
"Inauguration ceremony of the Aga Khan Academy Kilindini (Mombasa, Kenya)   ","His Highness the Aga Khan speaking at the Aga Khan Academy opening ceremony in presence of His Excellency President Mwai Kibaki (left) and Prince Rahim Aga Khan (right).","AKDN / Gary Otte"
"Opening of Alltex EPZ Limited at Athi River","His Highness the Aga Khan speaking at Alltex ceremony opening, with (L to R) Prince Rahim Aga Khan and Prince Amyn Aga Khan and (2nd right) Kenya President Mwai Kibaki looking on. ","AKDN / Gary Otte"
"Foundation stone-laying ceremony of the Aga Khan Academy","His Highness the Aga Khan addresses the audience of dignitaries at the Foundation Stone Laying Ceremony for an Aga Khan Academy Centre of Excellence in Maputo. ","AKDN / Aziz Islamshah"
"Convocation of the University of Toronto’s Ontario Institute for Studies in Education","His Highness the Aga Khan addresses the convocation.","AKDN/Zahur Ramji"
"The Nobel Institute in Oslo","His Highness the Aga Khan delivers his address entitled, ""Democratic Development, Pluralism and Civil Society"", at the Norwegian Nobel Institute to an audience of academics, diplomats, civil society leaders, and representatives from the Norwegian government and the private sector.","AKDN/Gary Otte"
"Foundation stone-laying ceremony of the Ismaili Centre, Dubai","His Highness the Aga Khan speaking at the foundation ceremony of the Ismaili Centre, Dubai.","AKDN/Gary Otte"
"Dushanbe Fresh Water Forum","His Highness the Aga Khan.","AKDN / Gary Otte"
"Foundation stone-laying ceremony of the Ismaili Centre","His Highness the Aga Khan.","AKDN / Gary Otte"
"Foundation stone-laying ceremony of the Ismaili Centre","His Highness the Aga Khan showing Tajikistan’s President Emomali Rahmonov (third from right) a conceptual model of the proposed Ismaili Centre, Dushanbe as Mayor Mamadsaid Ubaidollaev of Dushanbe (extreme right) looks on. ","AKDN / Gary Otte"
"Ceremony to inaugurate the restored Humayun's Tomb gardens","The ceremony to inaugurate the restored gardens of Humayun’s Tomb.","AKDN/Patrick Ruchdi"
"Ceremony to inaugurate the restored Humayun's Tomb gardens","His Highness the Aga Khan addressing the distinguished guests at the ceremony to inaugurate the restored Humayun's Tomb Gardens. ","AKDN / Patrick Ruchdi"
"Opening ceremony of the Aga Khan School","His Highness the Aga Khan making his inaugural remarks in the central courtyard of the Aga Khan School, Osh. ","AKDN / Gary Otte"
"Laudatory address for Viktor Yushchenko, President of The Ukraine at Die Quadriga Award ceremony","His Highness giving the laudatory address for Viktor Yushchenko, President of The Ukraine, at the 2006 Die Quadriga Award Ceremony.","AKDN / Gary Otte"
"Laudatory address for Viktor Yushchenko, President of The Ukraine at Die Quadriga Award ceremony","",""
"Plenary Session of the Bishkek Global Mountain Summit","His Highness the Aga Khan at the Bishkek Global Mountain Summit, 30 Oct.-1 November.","AKDN/Gary Otte"
"Plenary Session of the Bishkek Global Mountain Summit","His Highness the Aga Khan delivering his keynote address at the Bishkek Global Mountain Summit. ","AKDN / Gary Otte"
"Annual Meeting of The European Bank for Reconstruction and Development (Tashkent, Uzbekistan)","His Highness the Aga Khan delivering the Jacques de Laroisère Lecture at the annual meeting of the Board of Governors of the European Bank for Reconstruction and Development (EBRD) Tashkent, Uzbekistan. ","AKDN / Gary Otte"
"Official opening of the Kampala Serena hotel","His Highness the Aga Khan speaking at the opening ceremony of the Kampala Serena hotel. ","AKDN / Gary Otte"
"Upon receiving the ""Tolerance"" award at the Tutzing Evangelical Academy","His Highness addressing the Evangelical Academy of Tutzing upon receiving the Tolerance Award, 20 May 2006.","AKDN/Zahur Ramji"
"Speech by Jorge Sampaio at the Evora University Symposium","Jorge Sampaio, President of the Republic of Portugal, speaking at the symposium on ""Cosmopolitan Society, Human Safety and Rights in Plural and Peaceful Societies"" University of Évora (Évora, Portugal).","AKDN / Gary Otte"
"Signing of the funding agreement for the Global Centre for Pluralism in Ottawa","His Highness the Aga Khan addresses the audience during the signing ceremony for the Global Centre for Pluralism.","AKDN/Gary Otte"
"Speech by His Excellency Dr. Mohammad J. Shams at the Enabling Environment Conference, Kabul","President Hamid Karzai speaking at the Enabling Environment Conference in Kabul, Afghanistan, 4 June 2007.","AKDN / Gary Otte"
"Speech by His Excellency Dr. Mohammad J. Shams at the Enabling Environment Conference, Kabul","His Excellency Doctor Mohammad Jalil Shams, Ministry of Economy for Afghanistan, speaking at The Enabling Environment Conference. ","AKDN / Gary Otte"
"Speech by Praful Patel at the Enabling Environment Conference, Kabul","Praful Patel, Vice President of the World Bank (South Asia Region), speaking at the Enabling Conference.  
","AKDN / Gary Otte"
"Keynote address by The Hon. Abdullah A. Badawi at the Enabling Environment Conference, Kabul","Prime Minister Abdullah Ahmad Badawi of Malaysia addressing the Enabling Environment Conference in Kabul, Afghanistan, via videoconferencing, on 4 June 2007. ","AKDN / Gary Otte"
"Speech by His Excellency Prime Minister Shaukat Aziz at the Enabling Environment Conference, Kabul","His Excellency Prime Minister of Pakistan Shaukat Aziz delivers a speech at the Enabling Environment Conference, Kabul, Afghanistan.","AKDN / Gary Otte"
"Address of H.E. Ahmad Zia Massoud at the Enabling Environment Conference, Kabul","Vice President of Afghanistan H.E. Ahmad Zia Massoud speaking at the Enabling Environment Conference, Kabul.","AKDN / Gary Otte"
"The Enabling Environment Conference, Kabul","His Highness the Aga Khan speaking at The Enabling Conference, President Hamid Karzai and Prince Amyn Aga Khan look on. ","AKDN / Gary Otte"
"The Enabling Environment Conference, Kabul","Prince Amyn Aga Khan speaking at the Enabling Environment Conference. ","AKDN / Gary Otte"
"Speech by HRH The Prince of Wales at the 'Spirit & Life' exhibition","His Royal Highness the Prince of Wales speaking at the inauguration of the Spirit & Life Exhibition, 12 July 2007.","AKDN/Arnhel de Serra"
"Foundation stone-laying ceremony of the Aga Khan Academy, Kampala","His Excellency Professor Gilbert Bukenya, Vice President of the Republic of Uganda, makes a speech on behalf of His Excellency the President, Yoweri Museveni. The President commended the Aga Khan’s commitment to the development of Uganda.","AKDN/Gary Otte"
"Foundation stone-laying ceremony of the Aga Khan Academy, Kampala","Salim Bhatia, Director of the Aga Khan Academy Unit, speaks at the foundation stone laying ceremony for the Aga Khan Academy, Kampala in the presence of His Highness the Aga Khan, His Excellency Professor Gilbert Bukenya, Vice President of Uganda, and Mr Niaz Hirani, Chairman of the Aga Khan Education Services, Uganda. ","AKDN / Gary Otte"
"Foundation stone-laying ceremony of Bujagali hydropower project","His Excellency President Yoweri Museveni of Uganda addresses the gathering at the foundation stone-laying ceremony of the Bujagali Hydropower Project in Jinja.","AKDN/Gary Otte"
"Remarks by His Highness the Aga Khan upon receiving Die Quadriga 2005 Prize","His Highness the Aga Khan gives his acceptance speech after receiving the Die Quadriga 2005 prize in recognition of his life's work in helping the poorest regions of the world. ","AKDN / Gary Otte"
"Signing of the funding agreement for the Global Centre for Pluralism in Ottawa","Prime Minister of Canada The Right Honorable Stephen Harper addresses the audience during the signing ceremony for the Global Centre for Pluralism.","AKDN / Gary Otte"
"Archon Award ceremony of Sigma Theta Tau International","His Highness the Aga Khan delivering a speech when receiving the Archon Award. President of Sigma Theta Tau International, Dr Patricia Thompson (middle) looked on togeher with Facutly members : Dr May L. Wikle (right) and Dr Karen H. Morin (left), Professor, Dean of School of Nursing Faculty.","AKDN / Patrick Ruchdi"
"World Bank InfoDev Conference","His Highness the Aga Khan delivering the keynote address on the New Networked Economy at the World Faiths & Development Dialogue Conference held at the World Bank. ","AKDN / Gary Otte"
"Centenary Celebration Meeting, Association of American Universities","His Highness the Aga Khan addressing the International Convocation of the Association of American Universities (AAU). ",""
"White House Conference on Culture and Diplomacy","The 28 November 2000, His Highness the Aga Khan was meeting U. S. President Bill Clinton and U.S. Secretary of State Madeleine Albright at the first White House Conference on Culture and Diplomacy, Washington.","Mansour Saleh"
"Inauguration of the restored monuments in Darb al-Ahmar","His Highness the Aga Khan delivering a speech at the ceremony celebrating the restoration of the 14th century Umm al Sultan Shabaan mosque and the Kayrebek complex on 26 October 2007. ","AKDN / Gary Otte"
"Groundbreaking ceremony for the revitalisation of Forodhani Park","Prince Amyn Aga Khan speaking at the groundbreaking ceremony for the rehabilitation of Forodhani Park in Zanzibar's Historic Stone Town, a World Heritage Site.","AKDN/Zahur Ramji"
"2001 Award presentation ceremony of the Aga Khan Award for Architecture","His Highness the Aga Khan speaking at the Aga Khan Award for Architecture ceremony held in Aleppo. ","AKDN / Patrick Ruchdi"
"Winners' seminar of the Aga Khan Award for Architecture","His Highness the Aga Khan speaking at the Aga Khan Award for Architecture ceremony held in Aleppo. ","AKDN / Patrick Ruchdi"
"Winners' seminar of the Aga Khan Award for Architecture","His Highness the Aga Khan speaking during the Aga Khan Award for Architecture (AKAA) seminar. ","AKDN / Gary Otte"
"Delivered by Mr. Aly Mawji, Aga Khan Development Network Country Co-ordinator for Afghanistan, at the International conference on reconstruction assistance to Afghanistan","Mr. Aly Mawji, Aga Khan Development Network Country Co-ordinator for Afghanistan.",""
"Annual Conference of German Ambassadors ","His Highness the Aga Khan speaking at the German Ambassadors conference, with Joschka Fischer, German Minister for Foreign Affairs, looking on. ","AKDN / Patrick Ruchdi"
"Speech by Chief Minister, Dr. Y. S. Rajasekhara Reddy, at the foundation stone-laying ceremony of the AKA, Hyderabad","Dr. Y. S. Rajasekhara Reddy, Chief Minister of Andhra Pradesh speaking at the Foundation Stone Lyaing Ceremony of the Aga Khan Academy, Hyderabad.","AKDN / Gary Otte"
"Foundation stone-laying ceremony of the Aga Khan Academy","From left, Gulam Rahimtoola, Chairman of the Aga Khan Education Service; Dr. Y. S. Rajasekhara Reddy, Chief Minister of Andhra Pradesh; His Highness the Aga Khan; and Salim Bhatia, Director of the Academies programme, at the laying of the Foundation Stone for the Aga Khan Academy, Hyderabad, on 22 September 2006.","AKDN/Gary Otte"
"The Afghanistan Conference in Paris","His Highness the Aga Khan at the Afghanistan Conference in Paris.","Bruno Cohen"
"Prince Claus Fund's Conference on culture and development","His Highness the Aga Khan delivering his keynote speech at the conclusion of Prince Klaus Fund's Conference.","Prince Claus Fund    "
"Conference of Indigenous Philanthropy","His Highness the Aga Khan delivering a speech at the Conference on Indigenous Philanthropy held in Islamabad. General Pervez Musharaff, Chief Executive, is sitting on the right. ","AKDN / Gary Otte"
"Inaugural address by President Rafiq Tarar at the Conference on Indigenous Philanthropy","President of Pakistan Muhammad Rafiq Tarar speaking at the Indigenous Philanthropy Conference held in Islamabad. ","AKDN / Gary Otte"
"Welcome address by Dr. S. Kassim-Lakha at the Conference of Indigenous Philanthropy","Aga Khan University President Shamsh Kassim-Lakha delivering a speech at the Conference on Indigenous Philanthropy held in Islamabad. ","AKDN / Gary Otte"
"Inauguration of the Ishkashim bridge","His Highness the Aga Khan and President Rahmanov of Tajikistan receiving a traditional greeting upon arrival at Ishkashim, Tajikistan.","AKDN/Gary Otte"
"Inauguration of the Ishkashim bridge","His Highness the Aga Khan, President Rahmanov of Tajikistan (right), and Second Vice President Abdul Karim Khalili of Afghanistan (left) at the inauguration of the new Ishkashim Bridge across the Panj River.","AKDN / Gary Otte"
"The 'Musée-Musées' round table Louvre Museum","His Highness the Aga Khan speaking at the exhibition ""Chefs d'oeuvre islamiques de l'Aga Khan Museum"" at Le Louvre.","AKDN / Gary Otte"
"Scully Seminar ","Carolyn Schwenker Brody, Chair of the National Building Museum's Board of Trustees, presents the Vincent Scully Prize, a crystal obelisk, to His Highness the Aga Khan. ","AKDN / Zahur Ramji"
"Scully Seminar ","His Highness the Aga Khan speaking at the Vincent Scully Seminar, National Building Museum, Washington. ","AKDN / Zahur Ramji"
"Foundation stone-laying ceremony of the Aga Khan Academy","His Highness the Aga Khan, speaking at the Foundation Stone Laying Ceremony of the Aga Khan Academy, Hyderabad, on 22 September 2006.","AKDN/Gary Otte"
"Evora University Symposium","His Highness speaking at the International Symposium at the University of Evora, watched by (left to right): Rector of the University of Evora, Professor Manuel Patricio; President Sampaio; and Professor Adriano Moreira.","AKDN/Gary Otte"
"University of Evora Honorary Doctorate","His Highness speaking at the International Symposium at the University of Evora, watched by (left to right): Rector of the University of Evora, Professor Manuel Patricio; President Sampaio; and Professor Adriano Moreira.","AKDN/Gary Otte"
"University of Evora Honorary Doctorate","Ceremony bestowing the Honoris Causa Degree to His Highness the Aga Khan. ","AKDN / Gary Otte"
"Protocol of Cooperation between the government of the Republic of Portugal and the Ismaili Imamat","His Highness the Aga Khan speaks after being awarded the Gra-Cruz de Cristo, or Military Order of Christ.",""
"Protocol of Cooperation between the government of the Republic of Portugal and the Ismaili Imamat","His Highness the Aga Khan speaking after the signing of the Protocol of Cooperation between the Ismaili Imamat and the Government of the Republic of Portugal at the Ajuda Palace. ","AKDN / Zahur Ramji"
"Launch of the expansion of the Aga Khan Hospital","His Highness the Aga Khan addresses the gathering at the foundation stone-laying ceremony of the new Aga Khan Academy in Dar es Salaam. Looking on: His Excellency President Benjamin Mkapa, Princess Zahra, Hon. Joseph Mungai, Minister for Education, Hon. Yusuf Makamba, Regional Commissioner for Dar es Salaam and Mr. Alkarim Dawood, Chairman, Aga Khan Education Services, Tanzania.","AKDN/Zahur Ramji"
"Launch of the expansion of the Aga Khan Hospital","His Highness the Aga Khan addressing the guests at the ground breaking ceremony of the Aga Khan Hospital extension. ","AKDN / Zahur Ramji"
"Groundbreaking of the international Academic Centre of Excellence","His Highness the Aga Khan addresses the gathering at the foundation stone-laying ceremony of the new Aga Khan Academy in Dar es Salaam. Looking on: His Excellency President Benjamin Mkapa, Princess Zahra, Hon. Joseph Mungai, Minister for Education, Hon. Yusuf Makamba, Regional Commissioner for Dar es Salaam and Mr. Alkarim Dawood, Chairman, Aga Khan Education Services, Tanzania.","AKDN/Zahur Ramji"
"Scully Award Acceptance ","Carolyn Schwenker Brody, Chair of the National Building Museum's Board of Trustees, presents the Vincent Scully Prize, a crystal obelisk, to His Highness the Aga Khan. ","AKDN / Zahur Ramji"
"Ninth Award Cycle of the Aga Khan Award for Architecture","His Highness the Aga Khan addresses the gathering at the 2004 Aga Khan Award for Architecture (AKAA) ceremony, held at Humayun's Tomb in Delhi. Prime Minister Dr Manmohan Singh looks on. ","AKDN / Gary Otte"
"Leadership and Diversity Conference","His Highness the Aga Khan speaking at the Leadership and Diversity Conference. ","AKDN / Zahur Ramji"
"Presentation of the World Habitat Award","Princess Zahra Aga Khan speaking at the World Habitat Day celebrations in Kazan.",""
"Foundation stone-laying ceremony of the Bujagali hydropower project","His Highness the Aga Khan and His Excellency President Yoweri Museveni of Uganda, lay the foundation stone for the Bujagali Hydropower Project, Jinja. The US$ 770 million project is the country’s first private hydroelectric power project, and is expected to significantly lower the price of electricity in Uganda. The plant is also one of the largest independent power plants in sub-Saharan Africa.","AKDN/Gary Otte"
"Commemoration of the 25th anniversary of the Madrasa programme","His Highness the Aga Khan speaking at the launch of the Faculty of Health Sciences of the Aga Khan University.","AKDN/Gary Otte"
"Commemoration of the 25th anniversary of the Madrasa programme","His Highness the Aga Khan speaking at the commemoration of the 25th anniversary of the Madrasa programme. ","AKDN / Gary Otte"
"State banquet in Tanzania","His Highness the Aga Khan speaks at the State Dinner held in his honour in the presence of His Excellency Jakaya Mrisho Kikwete, President of Tanzania.","AKDN/Gary Otte"
"Foundation stone-laying ceremony of the Aga Khan Academy, Kampala","His Highness the Aga Khan expresses his vision for the Academies during the foundation stone-laying ceremony of the Aga Khan Academy, Kampala. ","AKDN / Gary Otte"
"Aga Khan University Convocation","His Highness the Aga Khan, Chancellor of AKU, addresses the Convocation gathering.","AKDN/Gary Otte"
"Foundation stone-laying ceremony of the residential campus, Aga Khan Academy, Mombasa","His Highness the Aga Khan speaking at the foundation stone laying ceremony for the new campus of the Aga Khan Academy, Mombasa.","AKDN/Gary Otte"
"Residential campus foundation stone-laying ceremony, Aga Khan Academy, Mombasa","Salim Bhatia's welcoming remarks at the residential campus foundation stone-laying ceremony, Aga Khan Academy, Mombasa.","AKDN / Aziz Islamshah"
"State Banquet commencing the Golden Jubilee visit in Kenya","President Mwai Kibaki of Kenya speaking at the State Banquet, State House, Nairobi, Kenya.","AKDN / Gary Otte"
