"Title","Caption","Copyright","Node Type"
"Teaching in Africa: A handful of educators struggles to bring order to the chaos of under-equipped schools","Nakasozi Madrasa Pre-School in Kampala. Beginning as a pilot project with one initial community pre-school, the Madrasa Programme has spawned the establishment of over 200 community pre-schools in East Africa, affecting tens of thousands of children. ","AKDN/Zahur Ramji","In the media"
"""Aga Khan speaks out on understanding of Muslims""","His Highness the Aga Khan.","AKDN / Gary Otte","In the media"
"River Deep, Mountain High","","","In the media"
"""Islam is a faith of reason""","His Highness the Aga Khan.","AKDN / Gary Otte","In the media"
"One on One: Interview with Peter Mansbridge","His Highness the Aga Khan.","AKDN / Gary Otte","In the media"
"A prince of the Islamic world","","","In the media"
"Private sector role in Afghanistan's uplift underlined","","","In the media"
"First telemedicine system launched in Afghanistan","State-of-the-art hospital in Kabul, Afghanistan.","AKDN / Sandra Calligaro","In the media"
"Stunning debut for Toronto-bound treasures","Artist-rendering of the Aga Khan Museum and their park, situated along Wynford Drive adjacent to the Don Valley Parkway in Toronto.","Imara Wynford Drive    ","In the media"
"Works of art from the Aga Khan's collection on showin London","","","In the media"
"Looking Beyond the Cities","","","In the media"
"Aga Khan opens architectural landmark","","","In the media"
"Aga Khan holds up Canada as model for the world","His Highness the Aga Khan.","AKDN / Gary Otte","In the media"
"Aga Khan prize doubled to US$1 million","His Highness the Aga Khan speaking to the assembled guests at the Aga Khan Award for Architecture ceremony, held at the Museum of Islamic Art in Doha, Qatar. Photo: AKDN / Gary Otte
سمو الآغا خان يتحدث إلى الضيوف خلال حفل توزيع جائزة الآغا خان للعمارة الذي أقيم في الدوحة، قطر.
تصوير غاري أوتي، شبكة الآغا خان للتنمية","","In the media"
"Pluralism of palette","A 15th / 16th century muqarna from Spain mounted over a floor-mounted mirror that enables viewers to examine the architectural element in a new way.","AKDN / Alex Moi","In the media"
"Aga Khan, EAC sign agreement on development","His Highness the Aga Khan and Ambassador Richard Sezibera, Secretary General of the East African Community, exchange folders and share congratulations during the signing ceremony.
 ","AKDN / Zahur Ramji","In the media"
"Aga Khan Trust: Good for people and the planet","The Park is designed to offer large open spaces for leisure and educational activities for the general public, school groups and tourists.","AKTC","In the media"
"Invest in young children to build a stronger society","Through its Madrasa Early Childhood Programme, AKF supports the creation of locally owned early childhood centres. Established in Uganda in 1993, the programme supports poor communities, managing and owning sustainable quality pre-schools that offer holistic development opportunities to young children.","AKDN/Zul Mukhida ","In the media"
"The Aga Khan University Hospital (AKUH) can now detect genetic disorders in newborns","At the AKU campus in Karachi, Pakistan, AKU researchers work on subjects including the genetic predisposition to disease (for early detection and treatment) and the major causes of infant mortality.","AKDN / Gary Otte","In the media"
"His Highness the Aga Khan: A Life in the Service of Development","His Highness the Aga Khan.","AKDN / Gary Otte","In the media"
"Karim Aga Khan and His Work","","","In the media"
"Restored Citadel of Herat poignant reminder of past Afghan glory","The Citadel of Herat - Afghanistan","AKDN","In the media"
"A journey into the Past on the Notes of Ancient Music","","","In the media"
"Bujagali set to open next month","The Bujagali Hydropower project, which now supplies almost 50 percent of the electricity of Uganda.","AKDN","In the media"
"Interview with the Aga Khan: How East Africans can build one common destiny for and by themselves, step by intelligent step","His Highness the Aga Khan.","AKDN / Gary Otte","In the media"
"Escapade gourmande au Mali","","","In the media"
"Spirit of Community","The Al-Azhar Park, Cairo, Egypt. ","","In the media"
"Towards a Happier State: Many NGOs are helping Bihar bring in change","The Aga Khan Foundation helps communities post-earthquake with reconstruction and rehabilitation efforts through rural development, education, health and water and sanitation activities. In Kutch, India, a group of women in the class are seated on the floor learning about health issues. ","Amit Pasricha ","In the media"
"Afghan Enclave Seen as Model for Development","On a map of the village, women indicate  whether they receive an adequate supply of  electricity from the new mini-hydroelectric generator – one of the two development projects they came to audit.","AKDN","In the media"
"Uganda: Bujagali dam work starts","Bujagali Energy Limited (BEL) was set up as a public-private partnership bringing together the Government of Uganda, Industrial Promotion Services (the infrastructure arm of the Aga Khan Fund for Economic Development), Sithe Global (a company majority-owned by the Blackstone Group) and Jubilee Insurance. ","AKDN","In the media"
"Aga Khan Trust revives the Middle Ages","Carpentry workshop in Darb al-Ahmar","AKDN / Matjaz Kacicnik","In the media"
"Le trophée hors normes des murs d'islam","Recipients of the ninth cycle of the Award with Prime Minister Dr. Manmohan Singh and His Highness the Aga Khan (last row, left). ","AKDN / Gary Otte","In the media"
"Monumental magic at Aga Khan Awards","2004 AKAA Ceremony","AKDN/Garry Otte","In the media"
"Aga Khan Award for Architecture Goes to Turkey","","","In the media"
"Cairo digs into its past to give Park-Starved Residents an  Oasis","The Al-Azhar Park, Cairo, Egypt. ","","In the media"
"The Spirit Behind the Aga Khan Awards","Musicians from Afghanistan and Tajikistan playing at the 2004 Aga Khan Award for Architecture Ceremony (at Humayun's Tomb). ","AKDN/Garry Otte","In the media"
"Reclaiming lost musical legacy","Homayun Sakhi playing rubab. ","Kate Vincent","In the media"
"Old Cairo transformed by park project","Aerial view of Al-Azhar Park.","AKCS-E","In the media"
"In a decaying Cairo quarter, a vision of green and renewal","Carpentry workshop in Darb al-Ahmar","AKDN / Matjaz Kacicnik","In the media"
"Paradise is a garden, and Cairo now has its own","Aerial view of Al-Azhar Park.","AKCS-E","In the media"
"Ancient voices of the steppes","","","In the media"
"Yurts and yakkety yaks","Performances and rehearsals for AKMICA English National Opera concert ","AKDN/Gary Otte","In the media"
"""There's No Conflict Between Islam and Democracy""","His Highness the Aga Khan.","AKDN / Gary Otte","In the media"
"Blooming in Cairo","The Al-Azhar Park, Cairo, Egypt. ","","In the media"
"Des pavés recyclés contre le fléau des déchets à Mopti","A series of large basins have been built along the perimeter of the mosque in which to prepare the earthen mixture to be used to bond the bricks and plaster the exterior walls.","","In the media"
"Water into Wires","An irrigation channel, pipe siphon and land development project of the Aga Khan Rural Support Programme (AKRSP) in Narthang, Baltistan (Pakistan). Planting of poplar trees is the first stage of land development after irrigation channels have been built, transforming the desert landscape.  ","Robin Oldacre-Reed ","In the media"
"Living under the Crescent Moon at IVAM","","","In the media"
"Aga Khan Award for Architecture 2004","Concert at Humayun's Tomb, 2004 Aga Khan Award for Architecture Ceremony. ","AKDN/Garry Otte","In the media"
"Lavish ceremony celebrates visionary design","","","In the media"
"46 Graduate in First Fete for Aga Khan Varsity","In 2005, the AKU Hospital, Nairobi, was created as a teaching hospital. Postgraduate medical education is already in place, in Nairobi and Dar es Salaam. The Hopital's aim is to be a premier tertiary care facility for Eastern Africa. Convocation.","Gary Otte / AKDN ","In the media"
"Broadband infrastructure progressing well","","SeaCom","In the media"
"La mosquée de Djingareyber - Tombouctou, Mali","The restoration works carried out between November 2004 and June 2006 were conducted in strict observance of traditional construction techniques. Further initiatives of this kind are planned, notably in Djenné and Timbuktu.","","In the media"
"Best of Asia 2008: The Wakhan Corridor","","","In the media"
"The French government, the Afghan government and the Aga Khan sign a letter of intent on medical projects in Afghanistan","FMIC hospital building.","","In the media"
"Why the world needs more Canada","An irrigation channel, pipe siphon and land development project of the Aga Khan Rural Support Programme (AKRSP) in Narthang, Baltistan (Pakistan). Planting of poplar trees is the first stage of land development after irrigation channels have been built, transforming the desert landscape.  ","Robin Oldacre-Reed ","In the media"
"Aid to a remote part of Pakistan","","","In the media"
"Foundation helped her, now she walks for them","","","In the media"
"Aga-Khan Schools celebrate centenary","AKES operates some 19 schools of high quality in East Africa, catering to some 9,100 students and employing about 600 teachers. 
","AKDN / Zul Mukhida","In the media"
"L´Afrique de l´Ouest a reçu la visite de l´Aga Khan","","","In the media"
"Ancient European music meets Central Asian masters","Sirojiddin Juraev from Tajikistan, Badiaa Bou Hreizi from Tunisia, and Rebal Alkhodri from Syria. The 6th Remix music workshop, Aswan, Egypt. ","Yahya Diwer","In the media"
"Market in the Park","","","In the media"
"Firm Helping Small-Scale Farmers Penetrate EU Markets","","","In the media"
"Aga Khan helicopters head for Asia","Focus Humanitarian Assistance and The Aga Khan Foundation (AKF) coordinated and assisted emergency relief operations following the earthquake that hit northern Pakistan in October 2005.","Carlino Luca, Karen SA ","In the media"
"Best of Asia: Best Restored Treasure: Baltit Fort, Hunza Valley, Pakistan","","","In the media"
"Hill forts restored in the Himalayas","","","In the media"
"Aga Khan to Expand Microfinance","","","In the media"
"Egypt gets its own ""central park""","The Al-Azhar Park, Cairo, Egypt. ","","In the media"
"Doomed Domes","The Quli Qutb Shah Archaeological Park includes 70 structures, encompassing 40 mausoleums, 23 mosques, five step-wells/water structures, a hamam (mortuary bath), pavilions, garden structures and enclosure walls built during the reign of the Qutb Shahi Dynasty that ruled the Hyderabad region for 170 years in the 16th and 17th centuries.","AKTC / India","In the media"
"Pakistani nurse wins global award for excellence in neonatal nursing","","","In the media"
"FMFB Client Wins “Best National MicroEntrepreneur” Award","The outside of the Aga Khan Agency for Microfinance Bank in Khaplu, closed after banking hours. The First MicroFinanceBank Ltd. of Pakistan started operations in May 2002 and is gradually expanding to rural and urban areas in the country. AKAM's microfinance banks offer a range of credit and savings products, payment services, money transfer, leasing and micro-insurance. They reach out to disadvantaged populations, which are currently not able to receive financial services from commercial banks. Specific emphasis is placed on vulnerable groups, women in particular. ","AKDN/Robin Oldacre-Reed","In the media"
"Bone tumour cases treated without surgery","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"Walled City: New GIS developed to aid conservation work","Maryam Zamani mosque ","AKDN/Garry Otte","In the media"
"Safe Drinking Water Supply and Sanitation projects inaugurated in Gilgit-Baltistan and Chitral","Rahimabad, Gilgit, Pakistan. ","AKDN / Jean-Luc Ray","In the media"
"Illuminating the roof of the world: Tajikistan exports hydroelectricity to Afghan Badakshan","PamirEnergy, a project company of the Aga Khan Fund for Economic Development, is operating all power generation, transmission and distribution facilities of GBAO under a 25-year concession agreement with the Government of Tajikistan. In its initial phase PamirEnergy doubled the installed capacity at the Pamir I power plant, enabling most of the plant’s Khorog customers to have electricity 24 hours a day for the first time since the end of the Soviet era. Now cross-border transmission lines between Tajikistan and Afghanistan enable PamirEnergy to also export surplus power to Shugnan, Afghanistan and Afghan Ishkashim. ","AKDN / Jean-Luc Ray","In the media"
"Acumen fund announces first energy investment in Pakistan","Wide view of the Shandur Pass plateau, between Gilgit and Chitral districts","AKDN/Jean-Luc Ray","In the media"
"AKU inaugurates new patient-care building","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"Aga Khan Award for Architecture shortlist announced","The global need for housing includes millions refugees and displaced persons - victims of natural disasters and wars.","","In the media"
"Mobile Afghanistan: How a national telecom network delivers social goods","A satellite dish in the grounds of the Network Management Centre, PTT building, where a group of employees work with a state-of-the-art system to ensure communication links ","AKDN/Jean-Luc Ray ","In the media"
"Public Library inaugurated in Faizabad, Afghanistan","In the Bamyan province, AKDN has implemented a range of interventions aimed both at strengthening the Afghan Government's capacity to deliver quality education, and at supporting, enhancing and promoting educational access and quality learning opportunities for all children, particularly girls","AKDN / Caroline Arnold","In the media"
"Japan assists recovery from natural disaster in Vanj district","In high mountain areas of Badakhshan,Tajikistan, FOCUS works with local communities to build irrigation channels, pathways, and other structural mitigation projects to protect communities from the effects of avalanches, flooding, mud slides and rock falls.","FOCUS","In the media"
"Mughal-era serai to be conserved","Conservation and nursery developement works in Sunder Nursery ","AKDN/Ram Rahman ","In the media"
"Réouverture du parc zoologique de Bamako : 12 milliards de Fcfa injectés par le réseau Aga Khan","Zoo National du Mali. ","AKDN / Ibai Rigby","In the media"
"Women empowerment: Chronicles of carpentry","Ciqam carpentry workshop in Altit Hunza, Pakistan.","AKDN","In the media"
" Norway signs programme with AKFP for healthcare in KP ","AKHS doctors giving a dose of iodinated oil as next takers register with volunteers. Chitral, Pakistan","AKDN/Jean-Luc Ray ","In the media"
"AAR Japan, Dushanbe Serena Hotel complete vocational cooking training for PWDs","Front entrance of the newly inaugurated Dushanbe Serena Hotel in Tajikistan.","AKDN / Gary Otte","In the media"
"Aga Khan lauded for attracting investors","His Highness the Aga Khan addresses the gathering at the inauguration of the Bujagali power plant.","AKDN / Gary Otte","In the media"
"University of Central Asia and Ministry of Finance sign MoU to deliver Certificate in Policy Analysis to Afghan civil servants","","","In the media"
"France, AKCSP extends projects on NAs","Located in Shigar Valley, in the Karakoram Mountains of northern Pakistan, the Shigar Fort Residence was restored by the Aga Khan Cultural Services Pakistan (AKCSP), the Pakistan arm of the Historic Cities Support Programme (HCSP) of the Aga Khan Trust for Culture (AKTC).  ","Christian Richters ","In the media"
"Like Taj Mahal, Humayun’s Tomb gets Egyptian lamps","Facade, scaffolding from roof","AKDN/Christian Richters","In the media"
"Aga Khan Hospital joins the top league","In 2005, the AKU Hospital, Nairobi, was created as a teaching hospital. Postgraduate medical education is already in place, in Nairobi and Dar es Salaam. The Hopital's aim is to be a premier tertiary care facility for Eastern Africa. ","AKDN / Gary Otte","In the media"
"Aga Khan Awards announced ","His Highness the Aga Khan addresses the audience during the award ceremony of the 12th cycle of the Aga Khan Award for Architecture, presented in Lisbon, Portugal. ","AKDN / Gary Otte","In the media"
"AKU introduces ‘Care of the Elderly’ ","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"Aga Khan revives lost 16th century Mughal garden in heart of Delhi","Pathway along main axis connecting the entrance gate to the Humayun's Tomb ","AKDN/AKTC","In the media"
"AKUH introduces anticoagulation clinic","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"Self-sustaining projects aim to fight global poverty","The annual World Partnership Walk at Stanley Park in Vancouver, British Columbia, Canada, Sunday May 26, 2013.
","AKDN","In the media"
"Dar’s Aga Khan Hospital turns to specialty in neurosciences","MRI scanner at the Aga Khan Hospital, Dar es Salaam, Tanzania.","AKDN / Jean-Luc Ray","In the media"
"Mughal era tombs restored to their traditional grandeur ","Isa Khan Niyazi Tomb Complex, facade ","AKDN/Christian Richters","In the media"
"Exhibition of facsimile prints on Mughals Arts, Culture and Empire held in Kabul","Opening day 12 May 2013 at the Queen's Palace, Bagh-e Babur ","AKDN/Katrin Lotz","In the media"
"Breathing life into Hyderabad’s Qutb Shahi tombs","Qutb Shahi Tombs","AKDN/Luis Monreal","In the media"
"Aga Khan University opens new health centre in Arusha","Honourable Stanslaus Mageso Mulongo, Regional Commissioner in Arusha cuts the ribbon to mark the official opening of the Aga Khan Health Centre in Arusha. ","AKU","In the media"
"Aga Khan opens health centre in Arusha","The Aga Khan Health Centre in Arusha.","AKU","In the media"
"AKU receives international recognition in medical education","Aga Khan University. A woman in white - doctor or nurse - walks past a fountain at the medical college. ","AKDN/Jean-Luc Ray","In the media"
"One year on: Bujagali Doubles power supply","Aerial view of the Bujagali Hydropower Project.","Matthias Mugisha    ","In the media"
"Bujagali performing beyond expectation – management","BEL has worked with the Government of Uganda and tour operators to develop additional tourist facilities in the downstream Kalagala Falls area. The lake that has formed behind the dam has also created new leisure and tourism activities, including popular sunset cruises and bird watching tours. Tourism has risen 10%, according to local tour operators. ","Matthias Mugisha","In the media"
"FOCUS in collaboration with CoES sets up Interdisciplinary Disaster Response Team in GBAO","The valley of the Murghob river in Tajikistan is prone to natural disasters as a future earthquake may cause landslides or even breach the natural Usoi dam that forms Lake Sarez, unleashing about 17 cubic kilometres of water down the valley. For this reason, Focus humanitarian assistance operates a number of disaster preparedness programmes. In this photo, people are walking across a footbridge built by Focus after its formal inauguration. The bridge was built to give villagers access to other areas. ","AKDN / Jean-Luc Ray ","In the media"
"Teaching the teachers","The Academy in Hyderabad hosts its first IB workshop, welcoming over 100 teachers to its campus.","AKDN","In the media"
"Aga Khan to construct varsity for East Africa","Arusha campus site, Tanzania.","AKU","In the media"
"Éducation nationale : La centrale d’Azito offre trois salles de classe et réhabilite le centre de santé d’Affikro","In the Ivory Coast, a US$ 225-million plant built by
AKFED and its partners in Abidjan provides 30 percent
of the electricity needs of the country.","AKDN","In the media"
"Now, MYP is recognised","The Academy in Hyderabad hosts its first IB workshop, welcoming over 100 teachers to its campus.","AKDN","In the media"
"How Afghanistan is on the leading edge of a tech revolution","Outside the main Roshan shop in Kabul, customers who have just bought mobile phones and Sim Cards, test them. ","AKDN/Jean-Luc Ray ","In the media"
"Escaping Pakistan's poverty trap","An irrigation channel, pipe siphon and land development project of the Aga Khan Rural Support Programme (AKRSP) in Narthang, Baltistan (Pakistan). Planting of poplar trees is the first stage of land development after irrigation channels have been built, transforming the desert landscape.  ","Robin Oldacre-Reed ","In the media"
"Aga Khan Development Network presented its education initiatives to the Parliament of the Kyrgyz Republic","Aga Khan School, Osh, Kyrgyz Republic.","AKDN / Mikhail Romanyuk","In the media"
"The service provider spectrum - from microfinance to financial inclusion","Seen here is a farmer weeding a MSDSP demonstration field in Tavdem. He is dressed in gray pants and a blue shirt and is wearing a cap. He is using a long shovel. In the field in front of him, tomatoes and cabbages are growing. Tajikistan 
","AKDN/Jean-Luc Ray","In the media"
"Roshan to rollout 3G and bring high speed data services to the country","Outside the main Roshan shop in Kabul, people line up to buy mobile phones and Sim Cards.","AKDN/Jean-Luc Ray","In the media"
"How walking can help a child in need ","The World Partnership Walk 2012 in Toronto.","AKDN / Akber Dewji","In the media"
"Hospital programme seeks to improve health communication","
The Aga Khan Health Care Centre in Mwanza is one of several primary health service facilities operated by the Aga Khan Health Services in Tanzania. ","AKDN / Lucas Cuervo Moura ","In the media"
"Hospital under construction to offer 8,000 jobs to Tanzanians","Remote teachers can request assistance by uploading text messages to Moodle (a virtual learning environment) through which faculty can track comments and provide support.","AKDN / Jean-Luc Ray","In the media"
"UCA signs partnership agreement with Kyrgyz Ministry of Finance","The School of Professional and Continuing Education (SPCE) in Khorog, Tajikistan. The University of Central Asia operates continuing education courses at each of its three campuses, in Khorog, Tajikistan; Naryn, Kyrgyz Republic; and Tekeli, Kazakhstan","AKDN / Jean-Luc Ray","In the media"
"Socio-economic development through cultural revitalization","Shigar Fort, 2006 Winner of the UNESCO Asia-Pacific Heritage Award of Excellence. 
","AKDN / Gary Otte","In the media"
"Advanced Emergency Response Management Training held in Afghanistan","In Afghanistan's Badakhshan province, FOCUS has been teaching local people how to effectively form and mobilise community emergency response teams.","FOCUS","In the media"
"Aga Khan health project brings hope to 2 regions	","There is significant investment in human resource development at every level of each AKHS national service company. In the neonatal ward at The Aga Khan Hospital, Dar es Salaam – managed by the Aga Khan Health Service, Tanzania – a nurse attends to an infant born prematurely at 32 weeks. The hospital is a multi-specialty 24-hour medical facility, providing comprehensive outpatient, emergency, inpatient, diagnostic and treatment services","AKDN / Jean-Luc Ray","In the media"
"The art of restoration","The central water channel and pool in the gardens of Humayun’s Tomb complex in Delhi were restored by AKTC in 2003. ","AKTC ","In the media"
"East Africa: Aga Khan to Boost Arusha's Image","His Highness the Aga Khan and Ambassador Richard Sezibera, Secretary General of the East African Community, exchange folders and share congratulations during the signing ceremony.
 ","AKDN / Zahur Ramji","In the media"
"Parc national du Mali : La modernité au flanc de Koulouba","The garden spaces feature indigenous flora in varied settings, from open lawn areas to flower gardens, wooded areas and a medicinal garden.","AKTC","In the media"
"Diabète, cancers et maladies cardiovasculaires ","President Kibaki and the Aga Khan — together with the Deputy Prime Minister, the Minister of Health and others — appraise newly installed cancer equipment at the Heart and Cancer Centre. Patients, doctors, students and researchers at the $50-million facility will benefit from state-of-the-art medical technology.","AKDN / Aziz Islamshah","In the media"
"Tajik Ministry of education approves Early Childhood Education Curriculum","Pre-school creche, Murghab town. The children are dressed in warm clothes and bonnets because of lack of heating. Good facilities. Chairs and tables made for young children. Early Childhood Education. Young Children and the Family.","AKDN/Jeremy Greenland ","In the media"
"Aga Khan Trust for Culture waiting to kick off facelift work at tombs","The Quli Qutb Shah Archaeological Park includes 70 structures, encompassing 40 mausoleums, 23 mosques, five step-wells/water structures, a hamam (mortuary bath), pavilions, garden structures and enclosure walls built during the reign of the Qutb Shahi Dynasty that ruled the Hyderabad region for 170 years in the 16th and 17th centuries.","AKTC / India","In the media"
"Restoring the past glory","The central water channel and pool in the gardens of Humayun’s Tomb complex in Delhi were restored by AKTC in 2003. ","AKTC ","In the media"
"Foundation stone laying ceremony of a public hospital held in Bamyan","Bamyan Provincial Hospital, Afghanistan. ","New Zealand Ministry of Foreign Affairs and Trade","In the media"
"Global poverty – The single biggest challenge of our time","Participants of the 2012 World Partnership Walk in Vancouver, Canada. World Partnership Walk's fight against global poverty.","AKDN","In the media"
"Roshan brings home the prestigious World Communications Award for Best Customer Care","Inside the Roshan Head Office, a young employee counts Sim Cards. ","AKDN/Jean-Luc Ray ","In the media"
"Aga Khan Trust signs Sh1.7bn deal with State for City Park’s facelift ","From left to right, Prince Hussain Aga Khan, Prime Minister of Kenya Raila Odinga, His Highness the Aga Khan and Luis Monreal, General Manager of the Aga Khan Trust for Culture, viewing a scale model of Nairobi City Park. ","AKDN / Samwell Nyakondo","In the media"
"Symposium on trade between Afghanistan and Central Asia","Mr. Azizullah Stanikzai, Deputy General Director of Trade and Investment in the Afghan Ministry of Foreign Affairs, engaging in a discussion during UCA's  symposium on ""Trade and Cooperation between Central Asia and Afghanistan"". Mr. Stanikzai also participated in UCA's 10-day trade policy and negotiations training programme in Issyk-kul, Kyrgyz Republic, held in August 2012.","Aziz Jan / UCA","In the media"
"Chaunsath Khambha to stand tall again","The central water channel and pool in the gardens of Humayun’s Tomb complex in Delhi were restored by AKTC in 2003. ","AKTC ","In the media"
"Timur Shah Mausoleum officially opened in Kabul","President Karzai and the Aga Khan unveil a plaque commemorating the restoration of the mausoleum of Timur Shah. ","AKDN / Gary Otte","In the media"
"Aga Khan inaugurate construction of obstetrics facility in Kabul","His Highness the Aga Khan speaking at the foundation ceremony for the new Women's Wing at FMIC as Afghanistan's Vice President, Mohammad Karim Khalili, and Foreign Minister Laurent Fabius of France look on.","AKDN / Gary Otte","In the media"
"Roshan brings home to Afghanistan three prestigious Stevie International Business Awards","Outside view of Roshan heaed office in Kabul.","AKDN/Jean-Luc Ray ","In the media"
"Saxon and Serena hotels triumph at World Travel Awards ","Kigali Serena Hotel, Rwanda. ","AKDN","In the media"
"Lasting monuments","The restoration works carried out between November 2004 and June 2006 were conducted in strict observance of traditional construction techniques. Further initiatives of this kind are planned, notably in Djenné and Timbuktu.","","In the media"
"Museveni, Aga Khan set to launch Bujagali ","His Highness the Aga Khan and President Yoweri Museveni of Uganda plant a tree at the inauguration of the Bujagali power plant. ","AKDN / Gary Otte","In the media"
"Museveni commissions Nyagak hydropower plant","Nyagak I hydropower station in Paidha, Zombo District, Uganda","","In the media"
"Construction begins on Canadian-funded hospital in Afghanistan","Foundation Laying Ceremony of the new Bamyan Provincial Hospital (BPH), 18 April 2013, Bamyan, Afghanistan.","","In the media"
